Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,genre
Treasure Planet,PG,69,70,7.1,60,38120554,2002,"Action,Animation,Family,Scifi"
About Schmidt,R,85,74,7.2,85,65005217,2002,"Comedy,Drama"
Secretary,R,76,82,7,63,4046737,2002,"Comedy,Drama,International,Romance"
Irreversible,NR,57,80,7.4,51,792200,2002,"Drama,International"
Big Trouble,PG13,48,54,6.5,47,7262288,2002,"Comedy,Drama"
Resident Evil,R,34,67,6.7,33,40119709,2002,"Action,Horror,Mystery"
Panic Room,R,76,63,6.8,65,95308367,2002,"Drama,Mystery"
Die Another Day,PG13,58,41,6.1,58,160942139,2002,"Action,Mystery"
Life or Something Like It,PG13,28,44,5.8,31,14448589,2002,"Comedy,Romance"
Martin Lawrence Live: Runteldat,R,39,70,5.4,40,19184820,2002,Comedy
Star Wars: Episode II - Attack of the Clones,PG,66,57,6.6,54,310676740,2002,Scifi
Big Fat Liar,PG,42,44,5.4,36,47811275,2002,"Family,Comedy"
Men in Black II,PG13,39,45,6.1,49,190418803,2002,"Scifi,Comedy"
Narc,R,84,79,7.2,70,10465659,2002,"Action,Drama,Mystery"
Catch Me If You Can,PG13,96,89,8.1,76,164606800,2002,"Action,Drama"
Out of Time,PG13,65,58,6.5,63,41083108,2003,"Action,Drama,Mystery"
Duplex,PG13,35,40,5.9,50,9652000,2003,Comedy
Freddy vs. Jason,R,41,50,5.8,37,82622655,2003,"Horror,Mystery"
The Haunted Mansion,PG,13,30,4.9,34,75817994,2003,"Family,Scifi,Comedy,Horror,Mystery"
21 Grams,R,81,86,7.7,70,16248701,2003,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,PG13,79,86,8,63,305411224,2003,"Action,Scifi"
Hollywood Homicide,PG13,30,27,5.3,47,30207785,2003,"Action,Comedy"
Shattered Glass,PG13,91,79,7.2,73,2207975,2003,Drama
X2,PG13,86,85,7.5,68,214949694,2003,"Action,Scifi"
The Jungle Book 2,G,19,30,5.4,38,47901582,2003,"Animation,Family"
Chasing Papi,PG,14,39,4.8,33,6126237,2003,Comedy
Big Fish,PG13,77,89,8,58,66432867,2003,"Comedy,Drama"
The Rundown,PG13,70,66,6.7,59,47641743,2003,"Action,Comedy"
The Hunted,R,29,47,6,40,34234008,2003,"Action,Mystery"
My Life Without Me,R,65,87,7.6,57,432360,2003,"Drama,Romance"
Connie and Carla,PG13,44,70,6.3,44,8047525,2004,Comedy
The Punisher,R,29,63,6.5,33,33664370,2004,"Action,Drama"
The Cookout,PG13,5,37,3.6,15,11540112,2004,Comedy
Along Came Polly,PG13,25,47,5.9,44,88073507,2004,"Comedy,Drama,Romance"
Team America: World Police,R,77,80,7.2,64,32774834,2004,"Comedy,Drama"
EuroTrip,R,46,75,6.6,45,17718223,2004,Comedy
Harry Potter and the Prisoner of Azkaban,PG,91,86,7.8,82,249538952,2004,"Family,Scifi"
Hidalgo,PG13,47,64,6.7,54,67286731,2004,Action
The Alamo,PG13,29,45,6,47,22406362,2004,"Action,Drama"
Ocean's Twelve,PG13,55,60,6.5,58,125531634,2004,"Action,Comedy,Drama"
After the Sunset,PG13,18,52,6.3,38,28328132,2004,"Action,Comedy,Drama"
Catwoman,PG13,9,18,3.3,27,40202379,2004,"Action,Drama"
The Sea Inside,PG13,84,92,8,74,2086345,2004,"Drama,International"
The Bourne Supremacy,PG13,81,90,7.8,73,176087450,2004,"Action,Drama,Mystery"
The Life Aquatic with Steve Zissou,R,56,82,7.3,62,24006726,2004,"Action,Comedy,Drama"
White Noise,PG13,8,31,5.5,30,56094360,2005,"Drama,Horror,Mystery"
Sin City,R,78,78,8,74,74103820,2005,"Action,Drama,Mystery"
Cinderella Man,PG13,80,91,8,69,61649911,2005,"Action,Drama"
A Sound of Thunder,PG13,6,18,4.2,24,1900451,2005,"Action,Scifi,Drama,Horror"
The Curse of the Were-Rabbit,G,95,79,7.5,87,56068547,2005,"Action,Animation,Family,Comedy"
Dave Chappelle's Block Party,R,92,73,7.2,84,11718595,2005,"Comedy,Documentary"
Cheaper by the Dozen 2,PG,6,57,5.5,34,82571173,2005,"Family,Comedy"
Sky High,PG,73,57,6.2,62,63939454,2005,"Action,Family,Scifi,Comedy"
Hoodwinked!,PG,47,56,6.5,45,51386611,2005,"Animation,Family,Comedy"
Be Cool,PG13,29,42,5.7,37,55849401,2005,"Comedy,Drama,Mystery"
A Lot Like Love,PG13,41,77,6.6,48,21835784,2005,"Comedy,Drama,Romance"
Harsh Times,R,48,55,6.9,56,3337931,2005,"Action,Drama"
Get Rich or Die Tryin',R,16,70,5.1,45,30981850,2005,Drama
Deuce Bigalow: European Gigolo,R,9,33,4.6,23,22400154,2005,Comedy
Dark Water,PG13,46,28,5.6,52,25473093,2005,"Horror,Mystery"
The Marine,PG13,20,60,4.7,45,18844784,2006,"Action,Drama"
A Good Year,PG13,25,65,6.9,47,7459300,2006,"Comedy,Drama,Romance"
Grandma's Boy,R,16,85,7,33,6090172,2006,Comedy
