folio,fecha_creacion,hora_creacion,dia_semana,fecha_cierre,año_cierre,mes_cierre,geopoint,mes,geometry,geometry1
C5/170622/06952,22/06/2017,20:34:45,Jueves,22/06/2017,2017,Junio,"19.20137004,-99.00731988",6,"[19.20137004, -99.00731988]","[19.20137004, -99.00731988]"
C5/170622/05115,22/06/2017,16:41:14,Jueves,22/06/2017,2017,Junio,"19.29659004,-99.03443004",6,"[19.29659004, -99.03443004]","[19.29659004, -99.03443004]"
C5/170622/03715,22/06/2017,13:44:52,Jueves,22/06/2017,2017,Junio,"19.43053002,-99.05259996",6,"[19.43053002, -99.05259996]","[19.43053002, -99.05259996]"
C5/170622/05317,22/06/2017,17:08:58,Jueves,22/06/2017,2017,Junio,"19.36188999,-99.12242988",6,"[19.36188999, -99.12242988]","[19.36188999, -99.12242988]"
C5/170622/05348,22/06/2017,17:12:38,Jueves,22/06/2017,2017,Junio,"19.36168002,-99.12210012",6,"[19.36168002, -99.12210012]","[19.36168002, -99.12210012]"
C5/170621/07339,21/06/2017,23:29:01,Miércoles,22/06/2017,2017,Junio,"19.38675996,-99.03350016",6,"[19.38675996, -99.03350016]","[19.38675996, -99.03350016]"
C5/170622/03505,22/06/2017,13:14:43,Jueves,22/06/2017,2017,Junio,"19.3924,-99.2391",6,"[19.3924, -99.2391]","[19.3924, -99.2391]"
C5/170622/03574,22/06/2017,13:24:13,Jueves,22/06/2017,2017,Junio,"19.32141996,-99.22043988",6,"[19.32141996, -99.22043988]","[19.32141996, -99.22043988]"
C5/170622/01694,22/06/2017,08:51:30,Jueves,22/06/2017,2017,Junio,"19.35017001,-99.07323984",6,"[19.35017001, -99.07323984]","[19.35017001, -99.07323984]"
C5/170622/03779,22/06/2017,13:49:44,Jueves,22/06/2017,2017,Junio,"19.37273004,-99.27753012",6,"[19.37273004, -99.27753012]","[19.37273004, -99.27753012]"
C5/170622/04358,22/06/2017,15:11:01,Jueves,22/06/2017,2017,Junio,"19.42615998,-99.12884004",6,"[19.42615998, -99.12884004]","[19.42615998, -99.12884004]"
IZ/170622/06327,22/06/2017,19:13:58,Jueves,22/06/2017,2017,Junio,"19.350577,-99.04752",6,"[19.350577, -99.04752]","[19.350577, -99.04752]"
C5/170622/04693,22/06/2017,15:48:39,Jueves,22/06/2017,2017,Junio,"19.45315998,-99.19868004",6,"[19.45315998, -99.19868004]","[19.45315998, -99.19868004]"
C5/170622/00692,22/06/2017,03:08:09,Jueves,22/06/2017,2017,Junio,"19.38263004,-99.16516008",6,"[19.38263004, -99.16516008]","[19.38263004, -99.16516008]"
C5/170622/03959,22/06/2017,14:14:50,Jueves,22/06/2017,2017,Junio,"19.31654997,-99.22089996",6,"[19.31654997, -99.22089996]","[19.31654997, -99.22089996]"
C5/170621/06698,21/06/2017,21:36:02,Miércoles,22/06/2017,2017,Junio,"19.39748004,-99.19011996",6,"[19.39748004, -99.19011996]","[19.39748004, -99.19011996]"
C5/170622/02819,22/06/2017,11:45:28,Jueves,22/06/2017,2017,Junio,"19.38642003,-99.16265016",6,"[19.38642003, -99.16265016]","[19.38642003, -99.16265016]"
C5/170621/06943,21/06/2017,22:15:26,Miércoles,22/06/2017,2017,Junio,"19.47900996,-99.09754992",6,"[19.47900996, -99.09754992]","[19.47900996, -99.09754992]"
C5/170622/00534,22/06/2017,02:20:40,Jueves,22/06/2017,2017,Junio,"19.42476003,-99.14340996",6,"[19.42476003, -99.14340996]","[19.42476003, -99.14340996]"
C5/170622/05066,22/06/2017,16:34:47,Jueves,22/06/2017,2017,Junio,"19.39235004,-99.09866988",6,"[19.39235004, -99.09866988]","[19.39235004, -99.09866988]"
C5/170622/04503,22/06/2017,15:28:51,Jueves,22/06/2017,2017,Junio,"19.41842997,-99.19362996",6,"[19.41842997, -99.19362996]","[19.41842997, -99.19362996]"
C5/170622/02873,22/06/2017,11:54:17,Jueves,22/06/2017,2017,Junio,"19.40311998,-99.19672992",6,"[19.40311998, -99.19672992]","[19.40311998, -99.19672992]"
C5/170622/02051,22/06/2017,09:50:31,Jueves,22/06/2017,2017,Junio,"19.34226,-99.0495",6,"[19.34226, -99.0495]","[19.34226, -99.0495]"
C5/170622/01245,22/06/2017,07:17:11,Jueves,22/06/2017,2017,Junio,"19.42476003,-99.14340996",6,"[19.42476003, -99.14340996]","[19.42476003, -99.14340996]"
C5/170622/06772,22/06/2017,20:08:21,Jueves,22/06/2017,2017,Junio,"19.33741998,-99.01901988",6,"[19.33741998, -99.01901988]","[19.33741998, -99.01901988]"
C5/170622/03872,22/06/2017,14:04:26,Jueves,22/06/2017,2017,Junio,"19.37144997,-99.17888004",6,"[19.37144997, -99.17888004]","[19.37144997, -99.17888004]"
C5/170622/02319,22/06/2017,10:33:02,Jueves,22/06/2017,2017,Junio,"19.30680999,-99.08193996",6,"[19.30680999, -99.08193996]","[19.30680999, -99.08193996]"
C5/170622/05382,22/06/2017,17:14:47,Jueves,22/06/2017,2017,Junio,"19.35045,-99.04644",6,"[19.35045, -99.04644]","[19.35045, -99.04644]"
C5/170622/03882,22/06/2017,14:04:23,Jueves,22/06/2017,2017,Junio,"19.48105998,-99.18870012",6,"[19.48105998, -99.18870012]","[19.48105998, -99.18870012]"
C5/170622/04974,22/06/2017,16:24:03,Jueves,22/06/2017,2017,Junio,"19.38033,-99.25944984",6,"[19.38033, -99.25944984]","[19.38033, -99.25944984]"
C5/170622/04521,22/06/2017,15:31:27,Jueves,22/06/2017,2017,Junio,"19.49221998,-99.08547012",6,"[19.49221998, -99.08547012]","[19.49221998, -99.08547012]"
C5/170622/00176,22/06/2017,00:38:56,Jueves,22/06/2017,2017,Junio,"19.36119996,-99.04026996",6,"[19.36119996, -99.04026996]","[19.36119996, -99.04026996]"
C5/170622/07450,22/06/2017,21:44:06,Jueves,22/06/2017,2017,Junio,"19.37699001,-99.12971016",6,"[19.37699001, -99.12971016]","[19.37699001, -99.12971016]"
C5/170622/03608,22/06/2017,13:30:52,Jueves,22/06/2017,2017,Junio,"19.31751999,-99.16522992",6,"[19.31751999, -99.16522992]","[19.31751999, -99.16522992]"
C5/170622/00699,22/06/2017,03:09:41,Jueves,22/06/2017,2017,Junio,"19.38263004,-99.16516008",6,"[19.38263004, -99.16516008]","[19.38263004, -99.16516008]"
C5/170622/00003,21/06/2017,23:59:19,Miércoles,22/06/2017,2017,Junio,"19.33446996,-99.12376008",6,"[19.33446996, -99.12376008]","[19.33446996, -99.12376008]"
BJ/170622/00147,22/06/2017,00:30:55,Jueves,22/06/2017,2017,Junio,"19.366314,-99.178748",6,"[19.366314, -99.178748]","[19.366314, -99.178748]"
C5/170622/07205,22/06/2017,21:10:02,Jueves,22/06/2017,2017,Junio,"19.29349998,-99.22079988",6,"[19.29349998, -99.22079988]","[19.29349998, -99.22079988]"
C5/170622/04173,22/06/2017,14:46:11,Jueves,22/06/2017,2017,Junio,"19.32228,-99.10541988",6,"[19.32228, -99.10541988]","[19.32228, -99.10541988]"
C5/170622/07227,22/06/2017,21:13:39,Jueves,22/06/2017,2017,Junio,"19.37697003,-99.12948012",6,"[19.37697003, -99.12948012]","[19.37697003, -99.12948012]"
GA/170622/04595,22/06/2017,15:38:17,Jueves,22/06/2017,2017,Junio,"19.425065,-99.106335",6,"[19.425065, -99.106335]","[19.425065, -99.106335]"
IZ/170622/01580,22/06/2017,08:29:56,Jueves,22/06/2017,2017,Junio,"19.26458001,-98.99394984",6,"[19.26458001, -98.99394984]","[19.26458001, -98.99394984]"
